Starting gRPC export scanner (v2) for 'Chuyện Công Chúa'...
Log will be saved to '/home/ws/grpc_exports.log'
[+] Found libgrpc_csharp_ext.so at: 0x6b64294000
    - function: _ZN9grpc_core9XdsClient22DumpClientConfigBinaryEv (Address: 0x6b6451740c)
    - variable: _ZTIN9grpc_core9XdsClient12ChannelState12LrsCallState8ReporterE (Address: 0x6b648f95a0)
    - variable: _ZTIN9grpc_core6chttp228TransportFlowControlDisabledE (Address: 0x6b648f8c90)
    - variable: _ZTVN4absl12lts_2021032419bad_optional_accessE (Address: 0x6b64902ce8)
    - function: _ZN4absl12lts_2021032419str_format_internal13FormatArgImpl8DispatchINS0_6int128EEEbNS2_4DataENS1_24FormatConversionSpecImplEPv (Address: 0x6b645d1700)
    - function: _ZN4absl12lts_2021032413time_internal4cctz12TimeZoneInfo4LoadERKNSt6__ndk112basic_stringIcNS4_11char_traitsIcEENS4_9allocatorIcEEEE (Address: 0x6b645fc81c)
    - function: _ZNKSt6__ndk110moneypunctIcLb1EE16do_thousands_sepEv (Address: 0x6b64710edc)
    - variable: envoy_config_route_v3_VirtualHost_msginit (Address: 0x6b648fc4c8)
    - function: _ZNSt6__ndk16vectorIN4absl12lts_2021032413time_internal4cctz10TransitionENS_9allocatorIS5_EEE7emplaceIJEEENS_11__wrap_iterIPS5_EENSA_IPKS5_EEDpOT_ (Address: 0x6b645fa3cc)
    - function: _ZN9grpc_core6XdsApi9RdsUpdate11VirtualHostaSEOS2_ (Address: 0x6b644bad20)
    - variable: _ZNSt6__ndk114numeric_limitsIN4absl12lts_202103246int128EE15tinyness_beforeE (Address: 0x6b647e06f5)
    - function: _ZN4absl12lts_2021032423inlined_vector_internal7StorageINSt6__ndk110unique_ptrINS0_13InlinedVectorINS4_IN9grpc_core19ServiceConfigParser12ParsedConfigENS3_14default_deleteIS8_EEEELm4ENS3_9allocatorISB_EEEENS9_ISE_EEEELm32ENSC_ISG_EEE15DestroyContentsEv (Address: 0x6b6440b510)
    - function: _ZN9grpc_core32MultiProducerSingleConsumerQueue3PopEv (Address: 0x6b645b587c)
    - variable: _ZN9grpc_core23grpc_lb_ring_hash_traceE (Address: 0x6b64924948)
    - variable: _ZTSg (Address: 0x6b6480720c)
    - function: _ZN3re214SimplifyWalker8PreVisitEPNS_6RegexpES2_Pb (Address: 0x6b645aee54)
    - function: grpcsharp_batch_context_recv_message_length (Address: 0x6b643e70cc)
